,sample,log_conc_truesoil,acronym
1,308,8.380192987,16S
2,403,9.231516274,16S
3,410,8.616048656,16S
4,417,8.028903547,16S
5,424,8.471048186,16S
6,643,9.784351803,16S
7,205,7.694760962,16S
8,212,8.609019666,16S
9,219,8.635999103,16S
10,226,9.234134486,16S
11,631,9.6193105,16S
12,645,9.344869483,16S
13,429,8.83524817,16S
14,436,9.111839619,16S
15,443,9.266469918,16S
16,450,9.404693133,16S
17,642,9.616389782,16S
18,230,8.89382643,16S
19,237,9.188627456,16S
20,744,9.24035127,16S
21,251,9.739939965,16S
22,535,9.161287936,16S
23,202,8.720600819,16S
24,209,6.8277222,16S
25,216,8.092325088,16S
26,223,8.656849592,16S
27,307,9.245850957,16S
28,314,8.883860001,16S
29,321,9.079771748,16S
30,328,9.139078439,16S
31,334,9.318478966,16S
32,341,8.193985845,16S
33,348,9.370050287,16S
34,355,9.196579471,16S
35,509,8.785613812,16S
36,529,8.993483681,16S
37,536,9.451882026,16S
38,543,9.480847438,16S
39,550,9.558651737,16S
40,326,9.276130586,16S
41,523,8.989739595,16S
42,431,8.885469282,16S
43,531,9.103901908,16S
44,538,9.182565137,16S
45,545,9.350596768,16S
46,552,9.607239513,16S
47,632,9.51013911,16S
48,534,9.561666946,16S
49,541,9.408773588,16S
50,548,9.537377243,16S
51,555,9.645189423,16S
52,422,8.207993788,16S
53,734,9.541835648,16S
54,741,9.507556312,16S
55,704,9.233501027,16S
56,711,9.326794309,16S
57,718,9.115281235,16S
58,725,8.696872233,16S
59,617,9.36333581,16S
60,335,9.107414971,16S
61,342,9.47039423,16S
62,349,9.422474325,16S
63,356,9.224628841,16S
64,726,8.545385945,16S
65,203,8.201949285,16S
66,210,8.306961595,16S
67,217,8.70109259,16S
68,224,8.267678207,16S
69,221,9.159946324,16S
70,228,8.974642293,16S
71,211,8.764657849,16S
72,218,7.756795954,16S
73,729,9.257162865,16S
74,201,9.292968519,16S
75,208,7.548198935,16S
76,215,8.293514132,16S
77,222,7.890068722,16S
78,435,8.907519373,16S
79,442,8.7594852,16S
80,449,9.252467685,16S
81,456,9.066277243,16S
82,413,8.619401381,16S
83,404,8.935517344,16S
84,411,8.683327408,16S
85,418,8.775600164,16S
86,425,6.652054225,16S
87,708,8.868240019,16S
88,715,9.21370026,16S
89,722,9.38177223,16S
90,607,9.509077627,16S
91,614,9.40443434,16S
92,621,9.166224902,16S
93,628,9.472614123,16S
94,656,9.325713895,16S
95,434,9.039971461,16S
96,441,8.790841965,16S
97,448,9.204528895,16S
98,455,9.316537428,16S
99,505,8.741719441,16S
100,512,9.206943389,16S
101,519,9.227365326,16S
102,526,8.979444798,16S
103,511,8.926433566,16S
104,233,8.432917117,16S
105,240,8.46251155,16S
106,247,9.187083604,16S
107,430,8.909240823,16S
108,437,9.170709881,16S
109,232,7.321350541,16S
110,239,8.680500831,16S
111,253,9.627582882,16S
112,627,9.258058788,16S
113,613,9.337104123,16S
114,206,7.808177453,16S
115,213,8.442508866,16S
116,301,9.021156973,16S
117,229,8.804259616,16S
118,315,9.325086376,16S
119,322,8.889727753,16S
120,409,8.555637185,16S
121,629,9.541435254,16S
122,423,8.477610944,16S
123,650,9.632296803,16S
124,306,9.222805294,16S
125,432,9.181654136,16S
126,439,8.906883278,16S
127,530,9.412309197,16S
128,537,9.254500763,16S
129,544,9.603682233,16S
130,551,9.572653766,16S
131,513,8.972930485,16S
132,520,9.54270496,16S
133,527,8.856956155,16S
134,745,9.470681555,16S
135,752,9.595299857,16S
136,732,9.391892685,16S
137,739,9.75016579,16S
138,746,9.477105756,16S
139,753,9.197365071,16S
140,556,9.073417663,16S
141,713,8.635384747,16S
142,605,9.446199153,16S
143,619,9.310046949,16S
144,630,9.689603832,16S
145,644,9.795828937,16S
146,604,9.24947813,16S
147,611,9.455774679,16S
148,618,9.327356446,16S
149,625,9.232597287,16S
150,305,9.143888991,16S
151,312,9.022168472,16S
152,319,8.922380862,16S
153,516,8.965483956,16S
154,648,9.207579997,16S
155,303,9.213256039,16S
156,310,9.126663302,16S
157,317,8.91243112,16S
158,426,8.915772659,16S
159,309,8.896074223,16S
160,401,8.663626269,16S
161,408,8.22016117,16S
162,415,8.70171199,16S
163,327,9.087572727,16S
164,522,8.891001775,16S
