"ID","timepoint","treatment","location","date","pH","gwc","mg_kg_NO3N"
"201",1,"maize monoculture","Rubona","9/17/20",5.16,"0.09470124",12.2665788027432
"202",1,"Napier grass","Rubona","9/17/20",5.99,"0.08649789",22.218494114115
"203",1,"Brachiaria cv. Mulato II","Rubona","9/17/20",5.65,"0.064444444",13.9152115544165
"204",1,"Desmodium distortum","Rubona","9/17/20",5.61,"0.062358277",14.5155426976442
"205",1,"Maize + Desmodium","Rubona","9/17/20",5.39,"0.079915878",25.1942005437336
"206",1,"Napier + Desmodium","Rubona","9/17/20",5.29,"0.067907996",10.1141059607289
"207",1,"Brachiaria + Desmodium","Rubona","9/17/20",5.51,"0.016632017",10.8631719681704
"208",1,"maize monoculture","Rubona","9/17/20",5.45,"0.082539683",24.8317394037286
"209",1,"Napier grass","Rubona","9/17/20",5.65,"0.065843621",10.557255493101
"210",1,"Brachiaria cv. Mulato II","Rubona","9/17/20",5.55,"0.066027689",13.0489676609253
"211",1,"Desmodium distortum","Rubona","9/17/20",5.31,"0.107608696",26.670566393038
"212",1,"Maize + Desmodium","Rubona","9/17/20",5.44,"0.049009385",31.1781067734946
"213",1,"Napier + Desmodium","Rubona","9/17/20",5.6,"0.063526835",25.5871458709338
"214",1,"Brachiaria + Desmodium","Rubona","9/17/20",5.44,"0.067836257",19.3276203473985
"215",1,"maize monoculture","Rubona","9/17/20",5.33,"0.065005417",17.9291029300008
"216",1,"Napier grass","Rubona","9/17/20",5.34,"0.072247706",14.3830497333946
"217",1,"Brachiaria cv. Mulato II","Rubona","9/17/20",5.74,"0.057173679",13.3873196592285
"218",1,"Desmodium distortum","Rubona","9/17/20",5.34,"0.050646552",22.3424804798549
"219",1,"Maize + Desmodium","Rubona","9/17/20",5.39,"0.042769857",27.1783465032024
"220",1,"Napier + Desmodium","Rubona","9/17/20",5.42,"0.058091286",14.1707348095219
"221",1,"Brachiaria + Desmodium","Rubona","9/17/20",5.54,"0.056768559",17.9385284253897
"222",1,"maize monoculture","Rubona","9/17/20",5.05,"0.081984898",31.4049095841078
"223",1,"Napier grass","Rubona","9/17/20",5.29,"0.064230343",15.921212098841
"224",1,"Brachiaria cv. Mulato II","Rubona","9/17/20",5.35,"0.070981211",25.2111481960633
"225",1,"Desmodium distortum","Rubona","9/17/20",5.22,"0.055201699",18.2257787283976
"226",1,"Maize + Desmodium","Rubona","9/17/20",5.21,"0.061728395",26.8310180123577
