"sample","gwc","timepoint","date","location","treatment","block","truesoil","NPOC","TN"
201,0.09470124,1,"9/17/20","Rubona","maize monoculture",1,9.043934611,35.5569984368279,42.9341270411808
208,0.082539683,1,"9/17/20","Rubona","maize monoculture",2,9.156253968,23.3779169936091,78.236137451625
202,0.08649789,1,"9/17/20","Rubona","Napier grass",1,9.171561181,23.8996556325223,48.4238530596489
209,0.065843621,1,"9/17/20","Rubona","Napier grass",2,9.378930041,16.4105167350084,46.032491329541
203,0.064444444,1,"9/17/20","Rubona","Brachiaria cv. Mulato II",1,9.308777778,19.7593503138904,42.2812701818576
210,0.066027689,1,"9/17/20","Rubona","Brachiaria cv. Mulato II",2,9.386421725,21.0273432054763,46.6236197974728
204,0.062358277,1,"9/17/20","Rubona","Desmodium distortum",1,9.376417234,16.3737767761049,41.6074190741105
211,0.107608696,1,"9/17/20","Rubona","Desmodium distortum",2,8.94176087,12.6618274046259,49.3447041910934
205,0.079915878,1,"9/17/20","Rubona","Maize + Desmodium",1,9.237644585,13.8151512261872,81.7681895261224
212,0.049009385,1,"9/17/20","Rubona","Maize + Desmodium",2,9.538435871,33.4136932513351,108.606573156062
206,0.067907996,1,"9/17/20","Rubona","Napier + Desmodium",1,9.348882804,-0.0609733276478386,29.6430832992017
213,0.063526835,1,"9/17/20","Rubona","Napier + Desmodium",2,9.411555312,21.606445676805,51.5686428653138
207,0.016632017,1,"9/17/20","Rubona","Brachiaria + Desmodium",1,9.823846154,12.4836205096948,38.3832552782255
214,0.067836257,1,"9/17/20","Rubona","Brachiaria + Desmodium",2,9.330959064,15.5854423112567,42.6194771494575
241,0.14893617,1,"9/16/20","Karama","Napier + Desmodium",2,8.536170213,-4.35579704404818,35.0740132260539
235,0.114842904,1,"9/16/20","Karama","Brachiaria + Desmodium",1,8.860422535,-0.593992873711096,30.4647477049961
242,0.133182844,1,"9/16/20","Karama","Brachiaria + Desmodium",2,8.694176072,-11.1755457906331,46.7557950479793
236,0.123348018,1,"9/16/20","Karama","maize monoculture",2,8.757753304,4.31727954500801,42.6890076988511
243,0.116438356,1,"9/16/20","Karama","maize monoculture",3,8.862123288,-7.0501161530851,43.0782513254886
237,0.142517815,1,"9/16/20","Karama","Napier grass",2,8.574821853,-0.692498086222136,28.1129173967242
244,0.15235792,1,"9/16/20","Karama","Napier grass",3,8.50185006,2.45096545637242,43.0773467126742
238,0.136522754,1,"9/16/20","Karama","Brachiaria cv. Mulato II",2,8.62613769,-8.49503210375783,33.6649829976627
245,0.139772727,1,"9/16/20","Karama","Brachiaria cv. Mulato II",3,8.585068182,-4.00899062511299,33.690379641942
239,0.122706422,1,"9/16/20","Karama","Desmodium distortum",2,8.755389908,-13.2120893515769,33.0067739801792
226,0.061728395,1,"9/17/20","Rubona","Maize + Desmodium",4,9.392098765,18.0884553192723,68.4673874465757
240,0.132094943,1,"9/16/20","Karama","Maize + Desmodium",2,8.644334365,-11.1618938892611,66.5231668107472
227,0.061336254,1,"9/17/20","Rubona","Napier + Desmodium",4,9.396024096,8.33446797728701,33.2990370331057
221,0.056768559,1,"9/17/20","Rubona","Brachiaria + Desmodium",3,9.460611354,28.3066891883362,47.365872277162
215,0.065005417,1,"9/17/20","Rubona","maize monoculture",3,9.396695558,15.0864449844721,46.3961316725306
222,0.081984898,1,"9/17/20","Rubona","maize monoculture",4,9.189331176,1.78138667283075,94.4909891758645
216,0.072247706,1,"9/17/20","Rubona","Napier grass",3,9.305355505,7.62463409827854,33.016701264232
223,0.064230343,1,"9/17/20","Rubona","Napier grass",4,9.385769657,17.5115979428438,38.6595142552658
217,0.057173679,1,"9/17/20","Rubona","Brachiaria cv. Mulato II",3,9.381121899,12.4525765797129,34.5406680010869
224,0.070981211,1,"9/17/20","Rubona","Brachiaria cv. Mulato II",4,9.299478079,5.73873821389624,41.8188381601492
218,0.050646552,1,"9/17/20","Rubona","Desmodium distortum",3,9.503028017,9.7695030549283,41.4987022206205
225,0.055201699,1,"9/17/20","Rubona","Desmodium distortum",4,9.447983015,13.0584987952296,40.2576053329495
219,0.042769857,1,"9/17/20","Rubona","Maize + Desmodium",3,9.53401222,21.8885947691557,48.9815081663738
228,0.057411273,1,"9/17/20","Rubona","Brachiaria + Desmodium",4,9.454164927,4.55005447244356,33.4078073312123
220,0.058091286,1,"9/17/20","Rubona","Napier + Desmodium",3,9.40966805,5.70911234883032,37.8900053778946
229,0.098698482,1,"9/16/20","Karama","maize monoculture",1,9.0220282,-9.95711535753393,38.3210519205857
234,0.123699422,1,"9/16/20","Karama","Napier + Desmodium",1,8.719190751,-11.7849451392691,30.7356027409635
230,0.137323944,1,"9/16/20","Karama","Napier grass",1,8.618133803,-11.1697193962767,32.2261929648295
231,0.135573581,1,"9/16/20","Karama","Brachiaria cv. Mulato II",1,8.626975666,-11.3222138842512,31.4404816058527
232,0.114903299,1,"9/16/20","Karama","Desmodium distortum",1,8.886370876,-13.2271470582148,30.546554263707
233,0.055859803,1,"9/16/20","Karama","Maize + Desmodium",1,9.413077766,-12.8353345609228,28.1287580113165
308,0.111232279,2,"10/7/20","Rubona","maize monoculture",2,8.932115594,22.0199431079382,70.3920467088921
309,0.135955056,2,"10/7/20","Rubona","Napier grass",2,8.683651685,13.6040516429702,44.1595710359895
310,0.107221007,2,"10/7/20","Rubona","Brachiaria cv. Mulato II",2,8.927789934,11.7005047012717,39.5889775738583
311,0.098913043,2,"10/7/20","Rubona","Desmodium distortum",2,9.010869565,12.4356332459939,44.0375676780832
312,0.106870229,2,"10/7/20","Rubona","Maize + Desmodium",2,8.886641221,19.2457603273174,83.1895438429394
325,0.102857143,2,"10/7/20","Rubona","Desmodium distortum",4,8.944514286,4.51009809427586,50.7677265723032
313,0.106796117,2,"10/7/20","Rubona","Napier + Desmodium",2,8.923106796,7.85645780289048,49.7232382809182
326,0.127336449,2,"10/7/20","Rubona","Maize + Desmodium",4,8.726635514,11.5151934585361,83.4526704497538
307,0.109026964,2,"10/7/20","Rubona","Brachiaria + Desmodium",1,8.918640094,10.8762702765379,47.780645566673
327,0.102396514,2,"10/7/20","Rubona","Napier + Desmodium",4,9.011938998,3.90930872678735,41.5120353678118
314,0.104639684,2,"10/7/20","Rubona","Brachiaria + Desmodium",2,8.944649556,8.05756820073795,61.567333452072
328,0.125565611,2,"10/6/20","Rubona","Brachiaria + Desmodium",4,8.726855204,6.05485848498226,47.4510328549761
315,0.141538462,2,"10/7/20","Rubona","maize monoculture",3,8.576030769,14.9866367031872,103.341916751236
329,0.053459119,2,"10/6/20","Karama","maize monoculture",1,9.42754717,10.6114588211336,54.5843938444217
316,0.129139073,2,"10/7/20","Rubona","Napier grass",3,8.734735099,5.50783724070332,52.2761606687468
330,0.136200717,2,"10/6/20","Karama","Napier grass",1,8.689820789,1.10197227808153,39.702799855104
317,0.127802691,2,"10/7/20","Rubona","Brachiaria cv. Mulato II",3,8.76558296,4.724273744942,46.9380759173848
331,0.13,2,"10/6/20","Karama","Brachiaria cv. Mulato II",1,8.7174,0.765774921835719,36.4772161809676
318,0.130965594,2,"10/7/20","Rubona","Desmodium distortum",3,8.70772475,6.44485916239711,54.3422407948279
