sample,gwc,pH,timepoint,date,location,treatment,block
201,0.09,5.16,1,9/17/20,Rubona,maize monoculture,1
202,0.09,5.99,1,9/17/20,Rubona,Napier grass,1
203,0.06,5.65,1,9/17/20,Rubona,Brachiaria cv. Mulato II,1
204,0.06,5.61,1,9/17/20,Rubona,Desmodium distortum,1
205,0.08,5.39,1,9/17/20,Rubona,Maize + Desmodium,1
206,0.07,5.29,1,9/17/20,Rubona,Napier + Desmodium,1
207,0.02,5.51,1,9/17/20,Rubona,Brachiaria + Desmodium,1
208,0.08,5.45,1,9/17/20,Rubona,maize monoculture,2
209,0.07,5.65,1,9/17/20,Rubona,Napier grass,2
210,0.07,5.55,1,9/17/20,Rubona,Brachiaria cv. Mulato II,2
211,0.11,5.31,1,9/17/20,Rubona,Desmodium distortum,2
212,0.05,5.44,1,9/17/20,Rubona,Maize + Desmodium,2
213,0.06,5.6,1,9/17/20,Rubona,Napier + Desmodium,2
214,0.07,,1,9/17/20,Rubona,Brachiaria + Desmodium,2
215,0.07,5.33,1,9/17/20,Rubona,maize monoculture,3
216,0.07,5.34,1,9/17/20,Rubona,Napier grass,3
217,0.06,5.74,1,9/17/20,Rubona,Brachiaria cv. Mulato II,3
218,0.05,5.34,1,9/17/20,Rubona,Desmodium distortum,3
219,0.04,5.39,1,9/17/20,Rubona,Maize + Desmodium,3
220,0.06,5.42,1,9/17/20,Rubona,Napier + Desmodium,3
221,0.06,5.54,1,9/17/20,Rubona,Brachiaria + Desmodium,3
222,0.08,5.05,1,9/17/20,Rubona,maize monoculture,4
223,0.06,5.29,1,9/17/20,Rubona,Napier grass,4
224,0.07,5.35,1,9/17/20,Rubona,Brachiaria cv. Mulato II,4
225,0.06,5.22,1,9/17/20,Rubona,Desmodium distortum,4
226,0.06,5.21,1,9/17/20,Rubona,Maize + Desmodium,4
227,0.06,5.26,1,9/17/20,Rubona,Napier + Desmodium,4
228,0.06,5.78,1,9/17/20,Rubona,Brachiaria + Desmodium,4
229,0.1,5.88,1,9/16/20,Karama,maize monoculture,1
230,0.14,5.99,1,9/16/20,Karama,Napier grass,1
231,0.14,6.06,1,9/16/20,Karama,Brachiaria cv. Mulato II,1
232,0.11,6.13,1,9/16/20,Karama,Desmodium distortum,1
233,0.06,6.16,1,9/16/20,Karama,Maize + Desmodium,1
234,0.12,6.34,1,9/16/20,Karama,Napier + Desmodium,1
235,0.11,6.09,1,9/16/20,Karama,Brachiaria + Desmodium,1
236,0.12,5.85,1,9/16/20,Karama,maize monoculture,2
237,0.14,6.77,1,9/16/20,Karama,Napier grass,2
238,0.14,6.45,1,9/16/20,Karama,Brachiaria cv. Mulato II,2
239,0.12,6.21,1,9/16/20,Karama,Desmodium distortum,2
