sample,auc_dea,log_auc_dea,mmol_kg_hr,treatment,location,timepoint
201,2.310084479025,1.4609575046254213,0.77861,maize monoculture,Rubona,1
202,2.30606970825,1.460025587443278,0.7922899999999999,Napier grass,Rubona,1
203,2.370828535575,1.4749525873778215,0.8265800000000001,Brachiaria cv. Mulato II,Rubona,1
204,2.4541788371249997,1.4938427200553732,0.20536000000000001,Desmodium distortum,Rubona,1
205,2.6162380196249995,1.529580091919963,0.85704,Maize + Desmodium,Rubona,1
206,2.06130316875,1.4015038996360065,0.33884,Napier + Desmodium,Rubona,1
207,2.6736106581000003,1.5419319331391534,2.5206,Brachiaria + Desmodium,Rubona,1
208,1.680296755125,1.3029933889092309,0.32027999999999995,maize monoculture,Rubona,1
209,2.4153076983,1.485077525466605,1.0188,Napier grass,Rubona,1
210,2.6532598935,1.537568026342436,0.24318,Brachiaria cv. Mulato II,Rubona,1
211,3.1719507026625005,1.6432499292830756,2.9894000000000003,Desmodium distortum,Rubona,1
212,4.1155199463750005,1.8108297935498057,2.5929,Maize + Desmodium,Rubona,1
213,2.2810253183625004,1.4541925412687733,0.5421,Napier + Desmodium,Rubona,1
214,2.5752010070624998,1.5206506337322734,3.4316,Brachiaria + Desmodium,Rubona,1
215,2.38369574475,1.4778921459485561,0.76478,maize monoculture,Rubona,1
216,9.468743836125,2.439625407805108,13.095,Napier grass,Rubona,1
217,8.608466415,2.3616524007084556,11.821,Brachiaria cv. Mulato II,Rubona,1
218,1.9633829515125,1.3770979412613034,0.60417,Desmodium distortum,Rubona,1
219,1.5834755838375,1.276333162932741,0.67412,Maize + Desmodium,Rubona,1
220,2.1911558793749997,1.432976562089247,0.53765,Napier + Desmodium,Rubona,1
221,6.723009804187501,2.1659643393972,8.7835,Brachiaria + Desmodium,Rubona,1
222,2.2395188103750003,1.4444497746844989,0.20784,maize monoculture,Rubona,1
223,2.0890735780125,1.4083184353542642,0.9627600000000001,Napier grass,Rubona,1
224,2.3283784769625,1.465192986187168,0.80728,Brachiaria cv. Mulato II,Rubona,1
225,2.55569638275,1.516378402176868,0.83125,Desmodium distortum,Rubona,1
226,6.2605197853875,2.111487513566017,7.8255,Maize + Desmodium,Rubona,1
227,1.295980052325,1.1927035599430498,0.5445700000000001,Napier + Desmodium,Rubona,1
228,0.9903753059625001,1.0953988999143662,1.6040999999999999,Brachiaria + Desmodium,Rubona,1
229,2.2875423420375007,1.4557136881371717,0.7490800000000001,maize monoculture,Karama,1
230,2.7324473628750003,1.5544424815619369,0.76966,Napier grass,Karama,1
231,2.88711785475,1.5866027339681759,0.18352000000000002,Brachiaria cv. Mulato II,Karama,1
232,2.676831654,1.5426208836550528,0.31534,Desmodium distortum,Karama,1
233,1.760786569275,1.3246281294799156,0.45189999999999997,Maize + Desmodium,Karama,1
234,2.06094200175,1.4014149668366003,0.069361,Napier + Desmodium,Karama,1
235,5.465913805125,2.0103478354384725,6.4852,Brachiaria + Desmodium,Karama,1
236,4.830802776375,1.9214422034803285,1.7719,maize monoculture,Karama,1
237,1.7969958172499998,1.3342101796556953,-0.016075,Napier grass,Karama,1
238,1.953301869375,1.3745511460270492,-0.18759,Brachiaria cv. Mulato II,Karama,1
239,5.1419395102125005,1.9659843795497893,0.18388666666666667,Desmodium distortum,Karama,1
240,0.6600380933325001,0.9783404434927577,-0.071161,Maize + Desmodium,Karama,1
241,2.5870586145000005,1.5232389939288573,0.20017,Napier + Desmodium,Karama,1
242,1.967664075,1.3781775273207466,0.14572,Brachiaria + Desmodium,Karama,1
243,1.9273307169749998,1.3679599882390914,0.39554,maize monoculture,Karama,1
244,2.7693225134999997,1.5622042641001448,0.91016,Napier grass,Karama,1
245,1.9423241793750001,1.371770442633602,0.033324,Brachiaria cv. Mulato II,Karama,1
247,2.0476900657500003,1.3981463642688527,0.24206,Maize + Desmodium,Karama,1
248,2.2376860575,1.4440173791172992,0.1875,Napier + Desmodium,Karama,1
249,2.0083796055000005,1.3883870712487678,0.23119,Brachiaria + Desmodium,Karama,1
250,2.528736824625,1.5104430539488356,0.42691,maize monoculture,Karama,1
251,2.9195822801249998,1.5932236244861848,1.1315,Napier grass,Karama,1
252,2.0464084747499998,1.3978296913239168,-0.011235,Brachiaria cv. Mulato II,Karama,1
253,2.7202478670000003,1.5518613124135572,0.56341,Desmodium distortum,Karama,1
254,2.3097084348749997,1.4608702533065103,0.66937,Maize + Desmodium,Karama,1
255,6.908120736,2.186963302962903,2.811,Napier + Desmodium,Karama,1
256,2.169468344625,1.4277885323887292,0.38235,Brachiaria + Desmodium,Karama,1
301,1.309029278325,1.1966548769888774,0.64664,maize monoculture,Rubona,2
302,1.44784953785625,1.2377507143366142,1.6100999999999999,Napier grass,Rubona,2
303,1.946658822825,1.372869353325893,0.82236,Brachiaria cv. Mulato II,Rubona,2
304,1.2048387916874999,1.1646617901021357,1.4309,Desmodium distortum,Rubona,2
305,1.7044017193875,1.3095217664612344,2.0864000000000003,Maize + Desmodium,Rubona,2
