"","ID","NP","location","auc_np","pH","treatment","gwc","block","timepoint"
"1","201",-0.38667,"Rubona",2913.74633981891,5.16,"maize monoculture",0.09,1,1
"2","202",0.014235,"Rubona",977.599778668987,5.99,"Napier grass",0.09,1,1
"3","203",0.052332,"Rubona",490.91958977029,5.65,"Brachiaria cv. Mulato II",0.06,1,1
"4","204",0.031641,"Rubona",514.971359957568,5.61,"Desmodium distortum",0.06,1,1
"5","205",-0.19402,"Rubona",2124.27204527695,5.39,"Maize + Desmodium",0.08,1,1
"6","206",0.037156,"Rubona",379.298372686274,5.29,"Napier + Desmodium",0.07,1,1
"7","207",0.085591,"Rubona",412.042257928684,5.51,"Brachiaria + Desmodium",0.02,1,1
"8","208",-0.29715,"Rubona",1987.24017734017,5.45,"maize monoculture",0.08,2,1
"9","209",-0.053469,"Rubona",851.485544208151,5.65,"Napier grass",0.07,2,1
"10","210",0.033118,"Rubona",531.009188350503,5.55,"Brachiaria cv. Mulato II",0.07,2,1
"11","211",-0.052075,"Rubona",1095.35020045501,5.31,"Desmodium distortum",0.11,2,1
"12","212",-0.34131,"Rubona",2927.13207415129,5.44,"Maize + Desmodium",0.05,2,1
"13","213",0.38143,"Rubona",955.428534511682,5.6,"Napier + Desmodium",0.06,2,1
"14","214",0.14646,"Rubona",817.938729608107,NA,"Brachiaria + Desmodium",0.07,2,1
"15","215",-0.05139,"Rubona",1442.54015137842,5.33,"maize monoculture",0.07,3,1
"16","216",-0.028131,"Rubona",648.233706292549,5.34,"Napier grass",0.07,3,1
"17","217",0.061443,"Rubona",612.596388238601,5.74,"Brachiaria cv. Mulato II",0.06,3,1
"18","218",-0.043672,"Rubona",954.230480602896,5.34,"Desmodium distortum",0.05,3,1
"19","219",-0.054271,"Rubona",795.455328408654,5.39,"Maize + Desmodium",0.04,3,1
"20","220",0.036717,"Rubona",490.902923323214,5.42,"Napier + Desmodium",0.06,3,1
"21","221",-0.01257,"Rubona",578.758497970102,5.54,"Brachiaria + Desmodium",0.06,3,1
"22","222",-0.12918,"Rubona",1952.78180271049,5.05,"maize monoculture",0.08,4,1
"23","223",-0.063056,"Rubona",494.957181989855,5.29,"Napier grass",0.06,4,1
"24","224",-0.013748,"Rubona",811.591618433032,5.35,"Brachiaria cv. Mulato II",0.07,4,1
"25","225",0.0080182,"Rubona",635.153020656203,5.22,"Desmodium distortum",0.06,4,1
"26","226",-0.18966,"Rubona",1572.90038134849,5.21,"Maize + Desmodium",0.06,4,1
"27","227",0.013198,"Rubona",501.85597780615,5.26,"Napier + Desmodium",0.06,4,1
"28","228",0.010761,"Rubona",488.986184081371,5.78,"Brachiaria + Desmodium",0.06,4,1
"29","229",-0.14688,"Karama",770.86183612223,5.88,"maize monoculture",0.1,1,1
"30","230",-0.088784,"Karama",622.464136808841,5.99,"Napier grass",0.14,1,1
"31","231",-0.17545,"Karama",644.947852523403,6.06,"Brachiaria cv. Mulato II",0.14,1,1
"32","232",-0.0060235,"Karama",694.634362510862,6.13,"Desmodium distortum",0.11,1,1
"33","233",-0.13432,"Karama",570.001268780911,6.16,"Maize + Desmodium",0.06,1,1
"34","234",-0.060941,"Karama",681.825380728092,6.34,"Napier + Desmodium",0.12,1,1
"35","235",-0.085247,"Karama",621.537988039287,6.09,"Brachiaria + Desmodium",0.11,1,1
"36","236",0.031639,"Karama",1119.78835303628,5.85,"maize monoculture",0.12,2,1
"37","237",0.073978,"Karama",693.980731268835,6.77,"Napier grass",0.14,2,1
"38","238",0.018409,"Karama",930.618914266562,6.45,"Brachiaria cv. Mulato II",0.14,2,1
"39","239",0.13219,"Karama",918.724991524952,6.21,"Desmodium distortum",0.12,2,1
"40","240",-0.098972,"Karama",2096.8668891071,5.96,"Maize + Desmodium",0.13,2,1
"41","241",0.10409,"Karama",1161.64784803117,6.25,"Napier + Desmodium",0.15,2,1
"42","242",-0.042204,"Karama",1461.96621895124,5.93,"Brachiaria + Desmodium",0.13,2,1
"43","243",-0.1413,"Karama",972.284564961877,6.22,"maize monoculture",0.12,3,1
"44","244",0.079676,"Karama",1406.20247510349,6.15,"Napier grass",0.15,3,1
"45","245",-0.018495,"Karama",884.416030101656,6.15,"Brachiaria cv. Mulato II",0.14,3,1
"46","247",0.10564,"Karama",896.338097639368,6.19,"Maize + Desmodium",0.14,3,1
"47","248",0.14425,"Karama",1009.97102963795,6.25,"Napier + Desmodium",0.15,3,1
"48","249",0.10292,"Karama",993.862587788824,6.29,"Brachiaria + Desmodium",0.13,3,1
"49","250",-0.083181,"Karama",1292.41549902127,6.31,"maize monoculture",0.12,3,1
"50","251",0.22137,"Karama",1106.88017290364,6.49,"Napier grass",0.13,4,1
"51","252",0.10979,"Karama",919.801297234461,6.47,"Brachiaria cv. Mulato II",0.15,4,1
"52","253",0.047708,"Karama",1236.45249600273,6.48,"Desmodium distortum",0.11,4,1
"53","254",0.040645,"Karama",1095.75833694997,6.25,"Maize + Desmodium",0.14,4,1
